ORDER_ID,ORDER_ITEM_ID,MATNR,QUANTITY,TOTAL_PRICE
3282,3204,19086647,2,7600.0
3282,3205,19041351,1,2100.0
3282,3206,19086639,1,1750.0
3321,3241,59008061,1,15500.0
3381,3301,19110829,1,9900.0
3401,3321,19113182,1,14480.0
3401,3322,59001096,1,17900.0
3441,3361,59008061,1,15500.0
3561,3481,19051629,1,5810.0
3561,3482,19047936,1,1050.0
3701,3621,19037264,1,13920.0
3701,3622,19037401,1,5950.0
3701,3623,19051734,1,13600.0
3841,3761,59008117,1,20900.0
3961,3861,19112395,1,1680.0
3961,3862,19045815,1,1590.0
4081,3981,19037264,2,27840.0
4081,3982,59000144,1,18750.0
4243,4144,59010019,1,26180.0
4361,4241,59008118,1,19900.0
4362,4242,19106675,1,19000.0
4781,4641,19112395,2,3360.0
4901,4721,19090826,1,4590.0
5344,5145,19111304,1,15400.0
5345,5146,19068835,1,15400.0
5381,5181,19058651,1,12900.0
5381,5182,19077054,1,13900.0
5381,5183,19086678,1,19950.0
5381,5184,19089163,1,11500.0
5381,5185,19086670,2,3780.0
5381,5186,19089099,1,27900.0
5381,5187,19076885,1,6650.0
5381,5188,19080280,1,25400.0
5381,5189,59008117,2,41800.0
5381,5190,19102426,1,25900.0
5382,5191,25015685,2,3000.0
5461,5281,59010014,1,21700.0
5501,5321,19100789,1,32600.0
5621,5441,59008124,1,23900.0
5622,5442,19072327,1,36600.0
5781,5541,19110639,1,19000.0
5922,5682,19113183,1,13280.0
6066,5807,19096188,1,3900.0
6066,5808,19090819,1,1750.0
6081,5821,19044412,1,4125.0
6081,5822,19044407,1,3000.0
6081,5823,19101655,1,2690.0
6101,5824,19042637,1,3600.0
6101,5825,19047680,1,1990.0
6162,5864,19067791,1,3290.0
6181,5901,19068803,1,13425.0
6221,5941,19086647,1,3800.0
6301,6021,59009438,1,20900.0
6301,6022,59010271,1,19900.0
